Bought Item,Confidence,Expected To Be Bought,Lift,Support,_id
Lime Pickle,0.11506849315068493,Spicy Papadum,3.373244207307934,0.0031350302306486525,26
Mango Chutney,0.34799420009666504,Mint Sauce,3.186656390085455,0.05374337538254833,27
Mango Chutney,0.28274528757854034,Onion Chutney,3.6704831566760707,0.04366649249832052,28
Mango Chutney,0.16288061865635572,Red Sauce,3.28137089945744,0.02515488542210943,29
Vegetable Roll,0.2727272727272727,Meat Samosa,3.065207443563148,0.005822198999776069,30
Mint Sauce,0.328092959671907,Onion Chutney,4.259168004578041,0.035828916921698886,31
Mint Sauce,0.2453861927546138,Red Sauce,4.943517029073024,0.02679704411435396,32
Onion Chutney,0.3187984496124031,Red Sauce,6.422470420236638,0.02455773680674778,33
Onion Chutney,0.17151162790697674,Spicy Papadum,5.027880260546537,0.013211913114876465,34
Prawn Puree,0.136,Saag Bhajee,7.8534137931034484,0.0038068224229305067,35
Red Sauce,0.15789473684210525,Spicy Papadum,4.628699758148105,0.007837575576621632,36
Aloo Chaat,0.221830985915493,Onion Bhajee,8.792513959496626,0.004702545345972979,37
Aloo Chaat,0.1654929577464789,None,7.752129912341181,0.003508248115249683,38
Mango Chutney,0.46938775510204084,Onion Chutney,6.093398987501978,0.0034336045383294767,39
Aloo Gobi,0.5945945945945946,Mushroom Rice,5.486076986076986,0.003284317384489065,40
Aloo Gobi,0.34355828220858897,Mint Sauce,3.1460357530748233,0.004180040307531537,41
Onion Bhajee,0.4444444444444444,Mushroom Rice,4.100704009794919,0.0035828916921698886,42
Aloo Gobi,0.267515923566879,Tandoori Roti,7.894076713712505,0.0031350302306486525,43
Aloo Gobi,0.11219512195121953,Tandoori Roti,3.310744600838079,0.005150406807494215,44
Vegetable Biryani,0.153125,Aloo Gobi,3.3356351626016263,0.0036575352690900948,45
Aloo Gobi,0.3006134969325153,Onion Chutney,3.902440909307081,0.0036575352690900948,46
Bhuna,0.1072961373390558,None,6.195889447979872,0.003732178846010301,47
Bhuna - Chicken Tikka,0.32812499999999994,Mushroom Rice,3.0274728822314043,0.0031350302306486525,48
Bhuna - Chicken Tikka,0.3203125,None,18.496666217672413,0.003060386653728447,49
Bombay Aloo,0.271523178807947,French Fries,6.941977149790202,0.003060386653728447,50
Chicken Shashlick,0.15014164305949007,Bombay Aloo,28.330247775605475,0.0039561095767709185,51
Chicken Shashlick,0.13597733711048157,Mango Chutney,4.47589283849907,0.0035828916921698886,52
Dhansak,0.125,Bombay Aloo,3.0119154676258995,0.003508248115249683,53
King Prawn Shaslick,0.4329268292682926,Bombay Aloo,3.3104570386457284,0.005299693961334627,54
Lime Pickle,0.13150684931506848,Mango Chutney,4.328740197233348,0.0035828916921698886,55
Lime Pickle,0.13972602739726028,Bombay Aloo,3.3667438651818276,0.0038068224229305067,56
Mint Sauce,0.10526315789473682,Mango Chutney,3.4648907280486223,0.011495110845711726,57
Onion Chutney,0.1298449612403101,Mango Chutney,4.27403672171114,0.010002239307307606,58
Mango Chutney,0.12904784920251328,Bombay Aloo,3.1094497046152347,0.019929835037695007,59
Red Sauce,0.10827067669172931,Mango Chutney,3.5638876059928686,0.005374337538254833,60
Masala Sauce,0.39999999999999997,Bombay Aloo,3.0586757990867577,0.006270060461297305,61
Masala Sauce,0.2380952380952381,Pilau Rice,3.6454421768707483,0.003732178846010301,62
Masala Sauce,0.20476190476190476,Bombay Aloo,4.313200059898173,0.0032096738075688587,63
Masala Sauce,0.2380952380952381,Bombay Aloo,5.7369818430969515,0.003732178846010301,64
Onion Chutney,0.1075581395348837,Bombay Aloo,5.297633806429547,0.008285437038142867,65
Mint Sauce,0.15174299384825699,Bombay Aloo,3.656296562203415,0.016570874076285734,66
Bombay Aloo,0.23529411764705885,Red Sauce,4.7402034498009735,0.004777188922893185,67
Plain Naan,0.40740740740740744,Bombay Aloo,3.115317943514291,0.003284317384489065,68
Paratha,0.10991957104557641,Bombay Aloo,3.618163374195546,0.003060386653728447,69
Onion Chutney,0.1385658914728682,Bombay Aloo,3.3387900145000278,0.01067403149958946,70
Onion Chutney,0.3131868131868132,Red Sauce,6.309419152276295,0.004254683884451743,71
Red Sauce,0.13383458646616542,Bombay Aloo,3.224787688646076,0.006643278345898336,72
Onion Chutney,0.27748691099476436,Butter Chicken,3.7933593332621003,0.0039561095767709185,73
Mango Chutney,0.49171270718232046,Mint Sauce,4.502717114232089,0.006643278345898336,74
Mango Chutney,0.4861878453038674,Onion Chutney,6.311490856139449,0.00656863476897813,75
Mango Chutney,0.8287292817679558,Plain Papadum,3.0874544460081492,0.011196536538030903,76
Mint Sauce,0.33116883116883117,Mushroom Rice,3.0555570462595254,0.0038068224229305067,77
Mint Sauce,0.4415584415584416,Onion Chutney,5.7321302728279475,0.005075763230574009,78
Mint Sauce,0.8116883116883117,Plain Papadum,3.0239678286118776,0.009330447115025751,79
Onion Chutney,0.10077519379844961,Butter Chicken,4.285984988310569,0.007762931999701426,80
Cauliflower Bhajee,0.2877358490566038,None,4.788567912809095,0.004553258192132567,81
Cauliflower Bhajee,0.24056603773584906,Saag Bhajee,44.14881106229,0.0038068224229305067,82
Cauliflower Bhajee,0.2877358490566038,None,16.615505042290177,0.004553258192132567,83
Chana Masala,0.17941952506596306,None,4.5959529202843346,0.005075763230574009,84
Plain Naan,0.15302491103202848,French Fries,3.912356360870392,0.0032096738075688587,85
Mango Chutney,0.41954022988505746,Mint Sauce,3.8418184960834685,0.005448981115175039,86
Mango Chutney,0.44827586206896547,Onion Chutney,5.819333066025126,0.005822198999776069,87
Mango Chutney,0.29310344827586204,Red Sauce,5.9048224008296595,0.0038068224229305067,88
Mango Chutney,0.29310344827586204,Saag Aloo,3.2886992433431526,0.0038068224229305067,89
Mint Sauce,0.5,Onion Chutney,6.490794573643411,0.005374337538254833,90
Mint Sauce,0.3888888888888889,Red Sauce,7.834502923976608,0.004180040307531537,91
